"","n","time_order_statistic_min","time_order_statistic_med","time_order_statistic_max"
"220",2200000,0.0280000000006112,0.0479999999995925,0.0340000000003784
"221",2210000,0.0340000000003784,0.0620000000002619,0.0220000000001164
"222",2220000,0.0280000000006112,0.0459999999999127,0.0239999999997963
"223",2230000,0.0240000000005239,0.0559999999997672,0.0379999999997381
"224",2240000,0.0279999999998836,0.05,0.0220000000001164
"225",2250000,0.030000000000291,0.0519999999996799,0.0279999999998836
"226",2260000,0.030000000000291,0.0559999999997672,0.0279999999998836
"227",2270000,0.0159999999996217,0.0519999999996799,0.0339999999996508
"228",2280000,0.0220000000001164,0.0540000000000873,0.0180000000000291
"229",2290000,0.0379999999997381,0.05,0.0260000000002037
"230",2300000,0.030000000000291,0.0540000000000873,0.0339999999996508
"231",2310000,0.0279999999998836,0.0540000000000873,0.0319999999999709
"232",2320000,0.0340000000003784,0.05,0.0260000000002037
"233",2330000,0.0339999999996508,0.05,0.0339999999996508
"234",2340000,0.0260000000002037,0.0440000000002328,0.0319999999999709
"235",2350000,0.0360000000000582,0.0559999999997672,0.019999999999709
"236",2360000,0.0239999999997963,0.05,0.0260000000002037
"237",2370000,0.0220000000001164,0.0440000000002328,0.0239999999997963
"238",2380000,0.0379999999997381,0.0559999999997672,0.0279999999998836
"239",2390000,0.0339999999996508,0.05,0.0220000000001164
"240",2400000,0.0260000000002037,0.0620000000002619,0.0280000000006112
"241",2410000,0.0360000000000582,0.05,0.0419999999998254
"242",2420000,0.0380000000004657,0.0680000000000291,0.0279999999998836
"243",2430000,0.0279999999998836,0.0540000000000873,0.0319999999999709
"244",2440000,0.0220000000001164,0.0559999999997672,0.0240000000005239
"245",2450000,0.0279999999998836,0.05,0.0319999999999709
"246",2460000,0.0319999999999709,0.0519999999996799,0.0279999999998836
"247",2470000,0.0379999999997381,0.0559999999997672,0.0239999999997963
"248",2480000,0.0440000000002328,0.05,0.0339999999996508
"249",2490000,0.0419999999998254,0.0559999999997672,0.0240000000005239
"250",2500000,0.0340000000003784,0.0560000000004948,0.0279999999998836
"251",2510000,0.019999999999709,0.0559999999997672,0.0180000000000291
"252",2520000,0.0439999999995052,0.0559999999997672,0.0340000000003784
"253",2530000,0.0379999999997381,0.0580000000001746,0.0279999999998836
"254",2540000,0.0279999999998836,0.0459999999999127,0.0239999999997963
"255",2550000,0.0279999999998836,0.05,0.0339999999996508
"256",2560000,0.0319999999999709,0.0639999999999418,0.0340000000003784
"257",2570000,0.0339999999996508,0.0520000000004075,0.0319999999999709
"258",2580000,0.0419999999998254,0.0560000000004948,0.0299999999995634
"259",2590000,0.030000000000291,0.0540000000000873,0.0340000000003784
"260",2600000,0.0339999999996508,0.0540000000000873,0.0260000000002037
"261",2610000,0.0339999999996508,0.0580000000001746,0.0340000000003784
"262",2620000,0.0339999999996508,0.05,0.0279999999998836
"263",2630000,0.0379999999997381,0.0599999999998545,0.0279999999998836
"264",2640000,0.0400000000001455,0.0580000000001746,0.0280000000006112
"265",2650000,0.0360000000000582,0.05,0.0319999999999709
"266",2660000,0.0340000000003784,0.0559999999997672,0.0240000000005239
"267",2670000,0.0440000000002328,0.0639999999999418,0.0279999999998836
"268",2680000,0.0479999999995925,0.0760000000002037,0.0279999999998836
"269",2690000,0.0400000000001455,0.0619999999995343,0.0240000000005239
"270",2700000,0.0519999999996799,0.080000000000291,0.0419999999998254
"271",2710000,0.0400000000001455,0.0779999999998836,0.0279999999998836
"272",2720000,0.0519999999996799,0.0779999999998836,0.030000000000291
"273",2730000,0.0319999999999709,0.0660000000003493,0.0479999999995925
"274",2740000,0.0319999999999709,0.0680000000000291,0.0360000000000582
"275",2750000,0.0379999999997381,0.0639999999999418,0.0280000000006112
"276",2760000,0.0380000000004657,0.0620000000002619,0.0260000000002037
"277",2770000,0.0279999999998836,0.0599999999998545,0.0340000000003784
"278",2780000,0.0459999999999127,0.0620000000002619,0.0400000000001455
"279",2790000,0.0280000000006112,0.0680000000000291,0.0319999999999709
"280",2800000,0.0399999999994179,0.0599999999998545,0.0379999999997381
"281",2810000,0.0419999999998254,0.0660000000003493,0.0279999999998836
"282",2820000,0.0339999999996508,0.0660000000003493,0.0379999999997381
"283",2830000,0.0440000000002328,0.0540000000000873,0.0319999999999709
"284",2840000,0.0419999999998254,0.0779999999998836,0.0279999999998836
"285",2850000,0.0440000000002328,0.0620000000002619,0.0400000000001455
"286",2860000,0.0339999999996508,0.0619999999995343,0.0379999999997381
"287",2870000,0.0400000000001455,0.0580000000001746,0.0319999999999709
"288",2880000,0.0560000000004948,0.0660000000003493,0.0379999999997381
"289",2890000,0.0399999999994179,0.0580000000001746,0.0360000000000582
"290",2900000,0.0680000000000291,0.0540000000000873,0.0380000000004657
"291",2910000,0.0560000000004948,0.0620000000002619,0.0379999999997381
"292",2920000,0.0460000000006403,0.0720000000001164,0.0239999999997963
"293",2930000,0.0400000000001455,0.0540000000000873,0.0380000000004657
"294",2940000,0.0559999999997672,0.0660000000003493,0.0380000000004657
"295",2950000,0.0380000000004657,0.0659999999996217,0.0419999999998254
"296",2960000,0.05,0.0860000000000582,0.0400000000001455
"297",2970000,0.0400000000001455,0.0560000000004948,0.0360000000000582
"298",2980000,0.0440000000002328,0.0639999999999418,0.0379999999997381
"299",2990000,0.0559999999997672,0.0580000000001746,0.0419999999998254
"300",3e+06,0.0480000000003201,0.0660000000003493,0.0280000000006112
"301",3010000,0.0440000000002328,0.0599999999998545,0.0379999999997381
"302",3020000,0.0340000000003784,0.0680000000000291,0.0400000000001455
"303",3030000,0.0339999999996508,0.0620000000002619,0.0319999999999709
"304",3040000,0.0400000000001455,0.0619999999995343,0.0319999999999709
"305",3050000,0.0360000000000582,0.0620000000002619,0.030000000000291
"306",3060000,0.0360000000000582,0.0839999999996508,0.0279999999998836
"307",3070000,0.0440000000002328,0.0720000000001164,0.0279999999998836
"308",3080000,0.0379999999997381,0.0659999999996217,0.0400000000001455
"309",3090000,0.05,0.0620000000002619,0.030000000000291
"310",3100000,0.0440000000002328,0.0580000000001746,0.0360000000000582
"311",3110000,0.0459999999999127,0.0720000000001164,0.0440000000002328
"312",3120000,0.0439999999995052,0.0659999999996217,0.0400000000001455
"313",3130000,0.0319999999999709,0.0759999999994761,0.0379999999997381
"314",3140000,0.0400000000001455,0.0680000000000291,0.0360000000000582
"315",3150000,0.0380000000004657,0.0660000000003493,0.0380000000004657
"316",3160000,0.05,0.0720000000001164,0.0379999999997381
"317",3170000,0.0419999999998254,0.0599999999998545,0.0379999999997381
"318",3180000,0.0319999999999709,0.0779999999998836,0.0400000000001455
"319",3190000,0.0319999999999709,0.0680000000000291,0.0340000000003784
"320",3200000,0.0360000000000582,0.0680000000000291,0.0200000000004366
"321",3210000,0.0360000000000582,0.0660000000003493,0.0360000000000582
"322",3220000,0.0480000000003201,0.0680000000000291,0.0399999999994179
"323",3230000,0.0599999999998545,0.0660000000003493,0.0400000000001455
"324",3240000,0.0560000000004948,0.0700000000004366,0.0339999999996508
"325",3250000,0.0440000000002328,0.0639999999999418,0.05
"326",3260000,0.05,0.0680000000000291,0.0379999999997381
"327",3270000,0.0459999999999127,0.0779999999998836,0.0480000000003201
"328",3280000,0.0440000000002328,0.0639999999999418,0.0440000000002328
"329",3290000,0.05,0.0720000000001164,0.0440000000002328
"330",3300000,0.0400000000001455,0.0779999999998836,0.0339999999996508
"331",3310000,0.0400000000001455,0.0779999999998836,0.0540000000000873
"332",3320000,0.05,0.0680000000000291,0.0560000000004948
"333",3330000,0.0339999999996508,0.0680000000000291,0.0319999999999709
"334",3340000,0.0380000000004657,0.0760000000002037,0.0400000000001455
